Scenario	Global_Second	Phase	Phase_Name	Phase_Second	Market_State	Kia	SK hynix	DB HiTek	POSCO Future M	Hyundai Motor	POSCO Holdings	Samsung Electronics	LS	Samsung SDI	Samsung Electro-Mechanics	HD Korea Shipbuilding	LS ELECTRIC	Korea Zinc	HMM	Hyundai Mobis	Korea Electric Power	Samsung C&T	SK Inc.	NAVER	Kakao	JUSUNG Engineering	EO Technics	Hanmi Semiconductor	LG Chem	Shinhan Financial	LEENO Industrial	LG Electronics	Celltrion	KODEX 200	EcoPro	Hana Financial	KODEX Semiconductor	SK Innovation	TIGER 200	KB Financial	KODEX Leverage	Meritz Financial	Samsung Biologics	KODEX KOSDAQ150	KODEX KOSDAQ150 Leverage	Wonik IPS	EcoPro BM	KODEX 200 Futures Inverse 2X	HD Hyundai Electric	Hyosung Heavy Industries	Woori Financial	HD Hyundai Heavy Industries	LG Energy Solution	TIGER Semiconductor TOP10	HPSP
Scenario 1	1	1	Fake Positive News	1	TRADING	153993.8	1447000	161713.93	267009.49	539016.31	501961.42	232500	509042.52	705058.93	918054.7	469466.72	294029.69	1628995.53	21147.56	436706.93	44495.51	319975.92	475469.14	209016.54	47103.44	126587.7	475017.66	377999.6	428972.6	98006.44	120788.55	143210.6	188381.34	105293.63	155792.78	126607.42	130460	145712.78	105769.86	157787.81	127790	113754.64	1484828.75	20175.32	17085.03	122501.7	215515.37	151.98	1298914.8	4227657.35	33583.59	680032.46	471950.69	42175	54400.9
Scenario 1	2	1	Fake Positive News	2	TRADING	154021.33	1444709.43	161517.79	267627.1	539546.24	501398.36	232570.84	508487.47	705522.81	917562.8	469267.88	294198.97	1630162.28	21140.11	436943.21	44514.74	319264.89	475408.84	208937.15	47133.18	126739.52	475813.81	377420.48	428525.03	97984.64	120657.66	143389.97	188371.17	105080.76	156217.49	126610.26	130315.24	145711.06	105771.98	157911.16	127933.15	113723.78	1484985.29	20178.24	17035.92	122452.15	215400.36	151.43	1297695.46	4226294.49	33553	680461.22	472921.58	42141.14	54314.33
Scenario 1	3	1	Fake Positive News	3	TRADING	154238.7	1444062.6	161823.24	267877.84	540041.92	501122.63	232135.45	508953.54	704830.76	919186.82	468958.93	293633.05	1628416.14	21157.62	437788.6	44482.69	318023.49	476232.51	208559.52	47203.21	127165.76	476917.35	376096.83	428399.34	97876.73	120252.06	142710.25	188500.7	104712.28	156642.18	126909.94	130410.02	145811.5	105726.94	157818.32	128041.63	113719.2	1485391.69	20172.34	17089.94	122635.59	215730.38	150.81	1299481.07	4212774.47	33600.61	680490.6	471962.86	42126.99	54509.66
Scenario 1	4	1	Fake Positive News	4	TRADING	154275.16	1442648.19	162190.93	267892.04	541262.56	500858.24	231888.45	508599.86	704722.31	922598.24	468581.63	293127.36	1630070.77	21160.13	438791.01	44485.34	318060.94	475908.91	208338.97	47221.91	126845.23	479336.9	375670.47	428080.74	97864.7	120152.17	142756.81	188429.51	104851.24	156819.99	126774.98	130465.22	145835.9	105950.67	157890.96	127860.95	113874.47	1483935.77	20166.36	17120.37	122748.41	216304.76	150.75	1303319.42	4219776.15	33634.76	679562.78	472896.33	42007.47	54333.27
Scenario 1	5	1	Fake Positive News	5	TRADING	154466.98	1443165.66	162122.92	267837.9	540007.64	500713.55	231474.07	510103.62	703846.78	922649.07	467800.15	293927.76	1627415.81	21150.68	440196.1	44467.86	318627.87	475451.44	207961.42	47184.58	126696.3	478165.82	374747.67	427397.26	97812.75	120337.09	143004.47	188181.94	105393.28	156501.78	126667.98	130348.62	145948.93	106026.93	157936.19	127449.25	114111.84	1484629.78	20157.26	17128.31	122234.92	216562.74	151.23	1301286	4213998.67	33667.7	679395.48	473354.07	41863.2	54238
Scenario 1	6	1	Fake Positive News	6	TRADING	154461.13	1444023.88	162295.26	267082.66	539342.3	500788.03	231918.38	510756.79	703718.68	921137.6	467305.75	294186.92	1628152.85	21118.49	440821.71	44431.58	318815.84	475448.39	207964.37	47184.98	126663.44	478422.24	374481.14	427356.38	97786.91	120600.3	143332.7	188317.91	105171.2	156338.26	126722.67	130297.35	146125.13	106114.67	157898.33	127829.8	114200.77	1483960.18	20153.61	17152.68	122008.16	216455.6	151.25	1302524.28	4209844.89	33728.65	680158.23	472803.02	42014.58	54125.87
Scenario 1	7	1	Fake Positive News	7	TRADING	154543.12	1446715.31	162347.87	267209.93	538978.49	499723.05	231808.01	510397.22	705478.68	917140.48	466964.88	294431.42	1627836.79	21113.84	442982.76	44429.01	318463.46	476512.5	207993.89	47157.36	126405.56	477923.74	374168.81	427627.53	97663.02	120401.98	143492.55	188304.8	105304.35	156607.66	126909.57	130294.11	145883.88	106215.22	157705.77	127387.86	114358.48	1484191.04	20154.39	17141.28	122172.83	216811.37	151.24	1302784.78	4215905.86	33761.18	680596.52	472482.19	42025.35	54127.97
Scenario 1	8	1	Fake Positive News	8	TRADING	154403.48	1444826.29	162365.25	267387.41	539078.13	499345.96	232213.42	511027.32	706290.29	916835.64	467428.6	294930.1	1627746.82	21099.41	443515.61	44452.34	318222.48	477434.63	208345.65	47154.34	126558.32	478024.73	374505.98	428503.78	97736.43	120401.93	142878.92	188540.28	105359.85	156372.39	126850.6	130449.88	146053.5	106460.17	157736.43	127316.9	114398.51	1486049.94	20147.88	17193.95	122855.46	216564.26	151.22	1303957.46	4216268.44	33817.95	679670.75	472035.86	42049.67	54216.73
Scenario 1	9	1	Fake Positive News	9	TRADING	154468.12	1441968.12	162576.95	267615.42	538592.74	499277.89	232020.9	509787.5	705840.37	916505.35	467397.45	295360.79	1626841.97	21127.24	444181.21	44464.54	319318.05	477001.52	208170.14	47082.17	126441.03	478702.4	373197.99	427612.89	97851.87	120322.02	142119.05	188593.8	105483.57	156252.26	126925.74	130137.67	146078.28	106591.2	157783.42	127502.57	114568.37	1485729.8	20105.84	17158.13	123026.65	216540.52	151.52	1301203.49	4215072.72	33855.55	680314.14	472497.26	42073.45	54078.6
Scenario 1	10	1	Fake Positive News	10	TRADING	154487.69	1440056.5	163047.61	267173.78	538455.24	498675.96	231842.27	510100.61	705628.56	917885.51	466642.87	294922.94	1624422.34	21137.02	444783.49	44360.59	319156.93	477337.28	207802.69	47101.35	126604.12	479138.38	372529.49	427727.54	97811.66	120371.96	142456.28	188675.55	105520.63	156118.09	127092.54	129997.51	146235.55	106802.16	157879.67	127234.17	114661.03	1485120.28	20094.67	17174.33	122392	216919.76	151.67	1301283.1	4210416.17	33906.52	681037.67	472291.26	41992.06	53876.37
