SK hynix	Samsung Electronics	KODEX Semiconductor	KODEX Leverage	TIGER Semiconductor TOP10
1446993.86	231313.57	130460.16	127789.98	42175.13
1437696.5	228395.6	130252.3	127160.81	42055.86
1451752.53	226876.86	130291.58	130034.3	42071.59
1433969.81	227160.52	128976.43	128574.01	42176.92
1439273.29	226867.88	130995.15	127198.62	42316.9
1421133.22	220475.22	130061.08	126300.09	42242.4
1423326.58	221811.4	130907.24	130019.94	41987
1423780.43	218639.4	133640.8	128130.32	42415.67
1436348.61	217686.95	134184.13	127302.36	42420.24
1412941.38	220964.66	134936.87	125213.74	42529.87
1410909.66	223596.33	133621.78	124360.74	42549.21
1393341.2	225071.45	130720.54	123434.86	42349.55
1408565.74	229786.29	130756.21	124064.58	42349.07
1417293.27	235043.39	128906.19	124278.42	42128.17
1417663.21	235488.6	128920.59	126507.75	41825.71
1385971.55	239248.97	129929.72	127690.97	41655.72
1393966.57	238727.48	128840.92	125087.35	41639.76
1389011.95	234922.99	130392.85	126987.64	41542.14
1355161.92	238725.13	131356.96	126760.6	41331.12
1388604.42	238484.23	129978.61	130269.38	41270.33
1384795.4	235079.61	130267.6	128413.44	41066.87
1388867.79	231632.35	130739.62	126487.03	41072.78
1395893.13	230426.34	131249.3	125440.3	40956.44
1406039.15	226352.68	131257.47	125393.99	40786.27
1402198.8	228620.61	132313.66	124998.43	41002.35
1405727.37	234955.68	131993.66	124649.56	41201.69
1430221.41	228955.58	132084.07	125569.42	41289.11
1424966.32	222263.56	133033.86	123043.98	41560.5
1422785.26	223702.79	133379.63	125095.39	41596.47
1408541.31	225060.04	133560.92	124788.61	41770
1432982.67	225046.26	132764.68	123341.38	41616.4
1422688.13	222152.58	130156.76	119595.63	41861.49
1430953.21	218720.96	129635.97	122090.33	41949.51
1414227.48	217932.02	130261.37	119315.45	41747.83
1426692.99	218616.85	130300.29	119120.19	42083.99
1465827.8	216666.24	130143.23	118624.46	41686.03
1448373.37	214852.19	129336.55	123141.06	41858.54
1462095.76	214342.02	129173.65	124025.51	41236.14
1468506.08	209334.89	127966.23	119745.32	41411.61
1436143.38	213268.81	129704.95	122264.46	41481.37
1419253.13	217575.97	131408.96	124667.33	41388.07
1427651.18	219621.2	130731.69	122140.95	41656.59
1427227.11	219621.16	129227.37	120120.41	41179.02
1432985.55	223803.26	127373.13	119268.42	41195.92
1433938.15	223908.56	128183.12	118296.51	41753.18
1420744.84	223195.64	127791.36	117292.87	41377.85
1432390.63	221654.12	126988.02	118415.92	41451.56
1449155.81	215879.94	127249.98	122932.99	41592.91
1441913.47	210979.23	128026.38	120512.22	41363.8
1444718.28	211673.35	127691.67	119906.66	41338.16
1439828.69	211331.45	128304.69	121366.56	41151.3
1446120.76	215662.08	126326.48	124181.08	40943.6
1430547.54	212652.72	127908.98	122842.05	40347.8
1444837.64	210467.46	128618.01	121519.93	40802.34
1454406.07	208344.51	130296.73	122017.73	40763.73
1445346.78	206853.01	131392.3	121697.45	40894.2
1451045.77	203714.56	130279.46	121847.19	40928.61
1472652.03	202953.95	130330.6	123492.12	40886.01
1426405.52	201067.31	128593.99	123713.77	41221.7
1425292.49	200944.34	128185.25	120609.54	41190.16
1417346.65	203667.9	126057.77	119084.37	41075.77
1408392.3	207027.85	128056.02	123378.22	41153.78
1414872.32	211977.4	127729.71	124712.69	41208.72
1356932.33	217688.39	127164	127322.51	41069.91
1410274.06	219021.25	130168.3	125847.72	41343.8
1408667.67	221133.38	131070.12	122609.55	41486.76
1352236.45	224022.47	133123.13	124165.13	41665.33
1350822.07	223302.93	130451.63	126313.18	41603.14
1374812.11	224507.45	131896.47	128261.86	41496.01
1371561.21	229276.78	130200.95	127214.36	41105.02
1337174.78	228051.4	131262.43	127750.98	40726.45
1356428.73	232026.95	129711.06	126140.98	40324.92
1334999.25	233977.79	129182.79	127834.19	40401.02
1359235.73	234150.77	129962.45	125163.47	40209.88
1373524.47	235675.57	129860.85	124917.8	39969.01
1401576.36	236066.65	130809.04	127324.35	40238.62
1409671.18	237015.92	130252.18	126966.25	40848.11
1399129.53	236763.96	130084.7	127420.04	40693.17
1412797.27	238011.05	129828.64	127524.33	40619.66
1448070.1	234253.22	129957.47	126968.77	40720.51
1460533.86	230143.15	130501.53	130554.4	40878.27
1464049.92	229744.87	126841.23	129518.94	40776.89
1480175.84	234048.21	129778.9	131616	40696.35
1504042.89	229451.58	131456.87	133644.57	41049.64
1516710.1	230922.89	131730.1	129739.84	41071.22
1510617.31	230073.99	131962.01	128704.98	41161.6
1484159.08	231380.67	133849.11	125781.87	41380.01
1463811.09	231152.5	135533.43	127126.11	41769.75
1481577.07	230565.85	137267.99	128365.18	41153.45
1464568.06	231355.15	138817.82	126140.3	41121.87
1483753.54	232491.59	140915.45	123575.7	41277.99
1518458.64	231630.85	139609.18	124709.73	41439.53
1544806.89	233794.82	141695.03	125830.42	41466.45
1570140.61	230564	139421.53	125178.19	41073.21
1552330.03	230955.16	137918.82	123157.74	41609.99
1530051.4	234426.65	136406.94	124096.23	41453.67
1486067.86	234491.01	135811.11	125511.05	41680.99
1440999.4	239353.41	132433.53	125914	41942.58
1393328.97	239425.98	130637.14	128667.51	42479.68
1402299.76	237341.96	133545.7	129115.12	42562.26
1418056.73	240150.58	137664.55	127343.62	42101.48
1420815.81	239794.93	136460.6	122330.01	42128.22
1432138.64	238182.86	129206.57	125468.52	41965.25
1435461.01	239572.8	122207.02	126869.03	42322.78
1468184.35	236242.58	119034.49	129832.16	42472.83
1477664.35	238690.96	119686.21	134280.83	42531.05
1514623.96	235395.26	123634.6	134907.31	42781.24
1530735.18	236924.48	125473.06	130379.2	42514.33
1493843.35	235401.17	124799.24	124251.51	42352.71
1451685.93	236378.63	126552.22	124652.61	42161.13
1433454.71	239599.37	125669.04	124419.56	41838.32
1444655.44	238268.22	128614.74	127552.58	41682.25
1445270.26	241382.69	129606.16	127814.61	41439.9
1428665.81	243001.02	131936.64	126773.02	41462.92
1444789.47	245935.55	133434.81	128386.75	41400.77
1456782.09	253267.32	137149.02	127202.68	41701.38
1482883.26	253931.13	140234.48	123193.81	41764.77
1446085.64	250041.69	136856.31	126366.45	41714.99
1447868.84	242772.67	134898.81	127127.89	41975.55
1404092.48	235227.98	134092.27	127474.3	42149.46
1377684	234923.37	135237.94	129090.26	42038.68
1382721.21	234989.96	136437.27	127610.95	42095.48
1351550.49	235374.4	131300.11	127763.84	42122.05
1389535.55	233969.47	127016.9	130826.99	41969.45
1393194.1	234129.95	127236.25	130637.85	41698.7
1403903.04	233924.32	129769.04	130240.77	41828.75
1408714.22	236398.14	131912.69	137009.1	41611.15
1403776.74	238778.16	135329.91	134711.33	41444.01
1424923.27	243317.97	140066.53	129145.44	41111.46
1435925.81	232890.77	137091.94	125973.56	41113.81
1430824.66	224235.58	135548.32	122418.76	41490.21
1451453.14	223663.28	134316.41	122802.86	41149.55
1458729.31	223976.05	133390.26	124196.35	41245.16
1479782.16	230629.38	134471.41	126313.75	41583.17
1472875.44	243070.48	134780.75	129409.2	41594.34
1474900.66	248108.33	135351.32	132107	41913.19
1540536.09	247677.8	135184.6	131675.7	41666.12
1557511.58	241675.68	133937.56	131397.66	42046.41
1493734.43	237648.75	130813.24	133280.32	42025.92
1489785.84	231551.76	128766.15	133330.92	42145.5
1508152.5	241491.67	128321.11	131662.04	42309.11
1523715.44	249661.49	128488.85	131739.49	42453.67
1516333.98	244358.46	126312.67	134560.72	42394.65
1504042.31	234798.23	127608.75	135249.74	42085.3
1484786.94	233543.24	127937.63	135731.91	42083.12
1463765.39	237068.19	128272.15	128072.13	42236.59
1451389.38	234286.88	128349.51	127754.11	42089.75
1485163.39	234840.54	128602.74	130107.42	41869.55
1532410.79	232376.22	130278.8	131639.23	41844.37
1509614.58	228853.75	130806.83	130383.71	41727.63
1503791.46	226588.8	131103.58	125657.34	41666.41
1549168.81	224613.78	131905.37	125923.31	41274.59
1584407.71	224205.87	132846.38	121209.61	41467.69
1545539.75	228112.55	134137.57	123871.87	41257.52
1475358.64	235432.98	138274.84	125191.23	41310.2
1450286.41	229314.49	141943.26	127170.49	41408.13
1425866.18	220623.4	140730.16	127801.3	41273.4
1397728.63	217015.77	138175.49	127757.65	41164.5
1410142.84	219457.18	134937.82	128099.22	41660.31
1412843.62	223818.99	131863.75	128263.84	41593.88
1437253.19	231294.15	129242.63	128512.3	41544
1460875.45	233156.21	126242.27	131451.83	41721.76
1511910.21	230519.82	125496.26	135402.09	41655.5
1555977.43	224353.41	125173.16	131140.46	41522.53
1544033	226055.93	126793.27	129639.19	41458.29
1516183.37	229643.28	125499.64	126281.56	41170.8
1485383.1	232913.25	126375.96	126639.69	40603.02
1506936.87	238643.59	127432.96	127205.01	40600.51
1518321.84	240770.8	127871.6	127191.21	40650.05
1522502.69	243785.72	128763.53	128456.96	40948.75
1542490.19	244598.55	131060.94	130596.46	41459.92
1534358.86	248239.11	130070.43	129132.64	41695.58
1568892.31	248556.3	131232.69	129469.84	41471.91
1578787.74	249192.19	131431.09	127069.27	41426.04
1562724.67	251462.64	132269.07	126326.67	41690.23
1537434.81	255066.02	131630.53	124954.06	42111.69
1501866.97	257814.12	132917.54	126271.12	41748.8
1532120.03	260141.21	132772.93	124162	41692.77
1499850.09	250659.56	132794.57	122493.23	41995.15
1522536.66	237488.31	132359.65	123478.66	41786.93
1521021.92	234698.47	132534.64	126583.56	42115.82
1522429.21	234167.6	132363.76	128084.68	42247.58
1557972.72	234256.21	131763.12	128696.68	42060.33
1560365.76	238033.59	132296.72	133382.42	42494.57
1575993.6	237661.65	132321.82	131385.49	42188.7
1571555.18	239809.29	131950.4	132233.66	42496.2
1555466.92	239904.58	131460.98	133677.49	42428.68
1551872.64	239891.42	133446.53	132537.09	42432.31
1542293.45	240871.05	134119.25	134813.78	42700.52
1499331.29	241678.19	132525.07	139325.49	42575.95
1525291.47	241916.39	132114.67	136514.29	42414.23
1515879.03	239514.34	131666.88	138106.34	42440.45
1491471.41	241699.88	132309.18	136266.9	42566.06
1508625.71	246149.45	133382.38	139711.82	42576.89
1526514.16	241505.51	134704.18	145861.58	42390.22
1504382.33	236968.62	132936.52	144914.75	42521.09
1449253.64	234577.4	132297.07	136117.03	42874.95
1425557.81	235377.23	133008.21	134661.77	42671.86
1430891.17	235430.39	132456.12	131382.55	42223.67
1490064.98	236015.56	133649.78	129600.9	42251.4
1443223.13	239348.98	133077.58	128973.72	42269.68
1466764.53	240645.84	133231.15	130723.3	42196.83
1454421.67	237592.24	133446.85	130088.4	42307.81
1465703.91	233137.16	135926.17	134743.32	42392.54
1452521.97	228114.72	137247.9	129613.1	42467.34
1460418.18	224988.57	138198.67	132560.37	42733.57
1488404.48	227112.61	137948.46	133607.38	42591.2
1516247.23	231612.64	140586.73	130482.96	42528.56
1495031.79	236098.87	144055.61	131504.19	42613.58
1497193.62	242794.41	145191.2	133064.43	42332.35
1516481.41	250955.61	144327.8	133361.76	42754.55
1498848.14	247967.77	141196.43	134797.26	42584.79
1504955.26	245014.89	137052.76	135151.81	42528.64
1519158.44	242906.09	131042.37	135520.09	42774.14
1509066.03	238587.75	129679.51	132569.71	42481.02
1542177.89	238351.17	130227.65	133412.41	42549.66
1560215.99	239573.56	132109.19	133243.72	42564.54
1568966.54	241432.37	134451.57	131376.35	42549.81
1555729.32	247346.67	134030.04	131401.91	42479.13
1561734.43	247341.44	135602.99	130774.41	42440
1591579.78	251598.01	134899.63	131612.76	42057.35
1589648.4	250775.1	134289.69	132038.85	42469.77
1562082.17	247834.84	134359.86	129779.96	42120.83
1600194.85	243190.1	135020.15	126689.25	42406.11
1624882.3	239351.51	135224.42	129025.92	42254.61
1598491.43	240086.18	137045.35	130346.91	42247.57
1535064.39	240380.67	133712.59	133052.25	42520.08
1514331.69	246659.11	129672.61	131034.17	42599.05
1498645.76	242837.13	127948.56	126775.22	42397.32
1511553.7	242306.53	131472.24	127730.66	42377.04
1513645.4	241616.68	140352.44	128807.53	41951.76
1490671.13	241880.79	146453.17	130135.68	42359.91
1473637.45	241066.91	141207.81	130118.27	42200.52
1487821.12	241287.89	134551.38	131656.47	42114.19
1489085.02	242822.9	134376.03	130381.05	42035.69
1537106.28	243618.28	133217.3	125736.28	42105.03
1576242.1	242126.31	131371.89	123938.45	42169.78
1584101	245049.66	129171.08	121311.04	42398.2
1576149.26	242283.91	131010.64	123396.12	41924.24
1584529.89	245912.13	130931.28	124483.83	41994.98
1597656.85	246612.23	131646.87	128532.57	41981.01
1591003	247914.76	128937.57	129524.72	42209.24
1572868.75	249143.95	128886.24	130287.98	42130.26
1567805.21	252467.43	127278.89	131542.36	41736.51
1585272	255924.98	124373.46	133862.33	41869.56
1600029.34	258185.11	124607.21	132709.83	41986.79
1575606.88	255484.4	125983.34	134420.48	42067.72
1563961.66	256279.43	127949.57	133835.02	41908.5
1557759.16	253612.56	129896.98	133891.9	41876.71
1601048.55	255599.31	131484.83	133361.82	42058.72
1593157.6	258344.91	132495.85	134966.22	41966.73
1558891.32	254261.06	134977.21	134179.37	41591.38
1577725.15	245481.89	135382.23	138034.87	41512.94
1538135.47	241653.39	133146.97	135925.64	41672.47
1571780.23	240443.56	134944.35	128803.6	41898.9
1570916.95	235152.22	136204.62	126503.9	41714.21
1592495.42	241497.41	137708.61	124078.68	41738.36
1573995.12	247283.88	139225.74	125256.21	41882.09
1539886.79	248618.98	141826.79	131076.13	42070.26
1526373.96	244503.42	142407.73	133753.94	42224.79
1520086.66	243237.18	140668.2	134649.31	42261.66
1515048.61	244712.67	139591.02	129874.63	42508.1
1502563.99	249171.82	137686.19	128764.1	42480.03
1489972.54	248821.07	135431.69	129606.97	42447.7
1478103.85	243216.24	133753.03	131087.45	42691.32
1495779.44	245697.16	131515.36	128783.26	42540.41
1535923.14	241653.09	131829.24	125137.23	42342.43
