Strategy,Leverage_x,Trade_No,Window,Phase,Asset,Buy_Global_Second,Sell_Global_Second,Buy_Phase_Second,Sell_Phase_Second,Buy_Price,Sell_Price,Asset_Return_Pct,Start_Equity_USD,Gross_Exposure_USD,Margin_Debt_USD,PnL_USD,End_Equity_USD,Cumulative_Return_Pct
Best_1_Trade_Per_Phase,1.0,1,P1,1,KODEX KOSDAQ150 Leverage,73,112,73,112,16627.99,19393.31,16.6305,10000.0,10000.0,0.0,1663.05,11663.05,16.6305
Best_1_Trade_Per_Phase,1.0,2,P2,2,POSCO Future M,551,600,251,300,222850.12,271984.43,22.0481,11663.05,11663.05,0.0,2571.49,14234.54,42.3454
Best_1_Trade_Per_Phase,1.0,3,P3,3,Kakao,702,860,102,260,43648.99,51609.65,18.2379,14234.54,14234.54,0.0,2596.08,16830.62,68.3062
Best_1_Trade_Per_Phase,1.0,4,P4,4,Vintrumite,995,1200,95,300,1750530.22,2287376.07,30.6676,16830.62,16830.62,0.0,5161.55,21992.17,119.9217
Best_1_Trade_Per_Phase,1.0,5,P5,5,Vintrumite,1263,1499,63,299,2240473.4,2979581.3,32.9889,21992.17,21992.17,0.0,7254.98,29247.15,192.4715
Best_1_Trade_Per_Phase,2.0,1,P1,1,KODEX KOSDAQ150 Leverage,73,112,73,112,16627.99,19393.31,16.6305,10000.0,20000.0,10000.0,3326.1,13326.1,33.261
Best_1_Trade_Per_Phase,2.0,2,P2,2,POSCO Future M,551,600,251,300,222850.12,271984.43,22.0481,13326.1,26652.21,13326.1,5876.32,19202.42,92.0242
Best_1_Trade_Per_Phase,2.0,3,P3,3,Kakao,702,860,102,260,43648.99,51609.65,18.2379,19202.42,38404.84,19202.42,7004.24,26206.65,162.0665
Best_1_Trade_Per_Phase,2.0,4,P4,4,Vintrumite,995,1200,95,300,1750530.22,2287376.07,30.6676,26206.65,52413.31,26206.65,16073.91,42280.57,322.8057
Best_1_Trade_Per_Phase,2.0,5,P5,5,Vintrumite,1263,1499,63,299,2240473.4,2979581.3,32.9889,42280.57,84561.13,42280.57,27895.8,70176.37,601.7637
Best_1_Trade_Per_Phase,2.5,1,P1,1,KODEX KOSDAQ150 Leverage,73,112,73,112,16627.99,19393.31,16.6305,10000.0,25000.0,15000.0,4157.63,14157.63,41.5763
Best_1_Trade_Per_Phase,2.5,2,P2,2,POSCO Future M,551,600,251,300,222850.12,271984.43,22.0481,14157.63,35394.07,21236.44,7803.73,21961.36,119.6136
Best_1_Trade_Per_Phase,2.5,3,P3,3,Kakao,702,860,102,260,43648.99,51609.65,18.2379,21961.36,54903.41,32942.04,10013.23,31974.59,219.7459
Best_1_Trade_Per_Phase,2.5,4,P4,4,Vintrumite,995,1200,95,300,1750530.22,2287376.07,30.6676,31974.59,79936.48,47961.89,24514.61,56489.2,464.892
Best_1_Trade_Per_Phase,2.5,5,P5,5,Vintrumite,1263,1499,63,299,2240473.4,2979581.3,32.9889,56489.2,141223.01,84733.81,46587.94,103077.15,930.7715
Best_1_Trade_Per_Phase,3.0,1,P1,1,KODEX KOSDAQ150 Leverage,73,112,73,112,16627.99,19393.31,16.6305,10000.0,30000.0,20000.0,4989.15,14989.15,49.8915
Best_1_Trade_Per_Phase,3.0,2,P2,2,POSCO Future M,551,600,251,300,222850.12,271984.43,22.0481,14989.15,44967.46,29978.31,9914.49,24903.64,149.0364
Best_1_Trade_Per_Phase,3.0,3,P3,3,Kakao,702,860,102,260,43648.99,51609.65,18.2379,24903.64,74710.93,49807.29,13625.71,38529.35,285.2935
Best_1_Trade_Per_Phase,3.0,4,P4,4,Vintrumite,995,1200,95,300,1750530.22,2287376.07,30.6676,38529.35,115588.05,77058.7,35448.1,73977.45,639.7745
Best_1_Trade_Per_Phase,3.0,5,P5,5,Vintrumite,1263,1499,63,299,2240473.4,2979581.3,32.9889,73977.45,221932.34,147954.89,73213.07,147190.52,1371.9052
Best_1_Trade_Per_Phase,4.0,1,P1,1,KODEX KOSDAQ150 Leverage,73,112,73,112,16627.99,19393.31,16.6305,10000.0,40000.0,30000.0,6652.21,16652.21,66.5221
Best_1_Trade_Per_Phase,4.0,2,P2,2,POSCO Future M,551,600,251,300,222850.12,271984.43,22.0481,16652.21,66608.82,49956.62,14686.01,31338.21,213.3821
Best_1_Trade_Per_Phase,4.0,3,P3,3,Kakao,702,860,102,260,43648.99,51609.65,18.2379,31338.21,125352.85,94014.64,22861.73,54199.94,441.9994
Best_1_Trade_Per_Phase,4.0,4,P4,4,Vintrumite,995,1200,95,300,1750530.22,2287376.07,30.6676,54199.94,216799.77,162599.83,66487.32,120687.26,1106.8726
Best_1_Trade_Per_Phase,4.0,5,P5,5,Vintrumite,1263,1499,63,299,2240473.4,2979581.3,32.9889,120687.26,482749.03,362061.77,159253.67,279940.93,2699.4093
Best_AM_PM_Rotation,1.0,1,P1-AM,1,KODEX KOSDAQ150 Leverage,73,112,73,112,16627.99,19393.31,16.6305,10000.0,10000.0,0.0,1663.05,11663.05,16.6305
Best_AM_PM_Rotation,1.0,2,P1-PM,1,Woori Financial,169,207,169,207,33342.92,38647.81,15.9101,11663.05,11663.05,0.0,1855.6,13518.65,35.1865
Best_AM_PM_Rotation,1.0,3,P2-AM,2,TIGER 200,344,377,44,77,95955.04,109262.45,13.8684,13518.65,13518.65,0.0,1874.82,15393.47,53.9347
Best_AM_PM_Rotation,1.0,4,P2-PM,2,POSCO Future M,551,600,251,300,222850.12,271984.43,22.0481,15393.47,15393.47,0.0,3393.97,18787.45,87.8745
Best_AM_PM_Rotation,1.0,5,P3-AM,3,KODEX KOSDAQ150,643,731,43,131,19615.91,22738.5,15.9187,18787.45,18787.45,0.0,2990.71,21778.16,117.7816
Best_AM_PM_Rotation,1.0,6,P3-PM,3,HD Hyundai Heavy Industries,751,808,151,208,538409.88,624361.32,15.9639,21778.16,21778.16,0.0,3476.65,25254.81,152.5481
