Strategy,Leverage_x,Final_Equity_USD,Number_of_Trades,Total_Return_Pct,Wealth_Multiple_x
Best_1_Trade_Per_Phase,1.0,29247.15,5,192.4715,2.924715
Best_1_Trade_Per_Phase,2.0,70176.37,5,601.7637,7.017637
Best_1_Trade_Per_Phase,2.5,103077.15,5,930.7715,10.307715
Best_1_Trade_Per_Phase,3.0,147190.52,5,1371.9052,14.719052
Best_1_Trade_Per_Phase,4.0,279940.93,5,2699.4093,27.994093
Best_AM_PM_Rotation,1.0,52009.27,10,420.09270000000004,5.200927
Best_AM_PM_Rotation,2.0,212722.55,10,2027.2254999999998,21.272254999999998
Best_AM_PM_Rotation,2.5,401307.48,10,3913.0748,40.130748
Best_AM_PM_Rotation,3.0,728406.04,10,7184.0604,72.840604
Best_AM_PM_Rotation,4.0,2174522.73,10,21645.2273,217.452273
