Phase,Session,Starting_Equity_USD,Leverage,Ticker,Buy_Global_Second,Buy_Phase_Second,Buy_Timer,Buy_Price_USD,Quantity,Gross_Exposure_USD,Margin_Debt_USD,Sell_Global_Second,Sell_Phase_Second,Sell_Timer,Sell_Price_USD,Underlying_Return_pct,Minimum_Margin_Ratio_pct,Profit_USD,End_Equity_USD,Cumulative_Wealth_x,Execution_Rule,T_plus_0_5,Liquidity
1,AM,10000.0,4x,KODEX KOSDAQ150 Leverage,73,73,03:47,11.88,3367,39990.32,29990.32,112,112,03:08,13.85,16.6305,25.0061,6650.59,16650.59,1.6651,Sell no later than Phase Second 299 (timer 00:01),Sale proceeds available next half-session,Unlimited at displayed price
1,PM,16650.59,4x,Woori Financial,169,169,02:11,23.82,2796,66590.57,49939.98,207,207,01:33,27.61,15.9101,25.0044,10594.62,27245.22,2.7245,Sell no later than Phase Second 299 (timer 00:01),Sale proceeds available next half-session,Unlimited at displayed price
2,AM,27245.22,4x,TIGER 200,344,44,04:16,68.54,1590,108977.51,81732.29,377,77,03:43,78.04,13.8684,25.0008,15113.42,42358.63,4.2359,Sell no later than Phase Second 299 (timer 00:01),Sale proceeds available next half-session,Unlimited at displayed price
2,PM,42358.63,4x,POSCO Future M,551,251,00:49,159.18,1064,169366.09,127007.46,597,297,00:03,192.66,21.0354,25.0101,35626.9,77985.53,7.7986,Sell no later than Phase Second 299 (timer 00:01),Sale proceeds available next half-session,Unlimited at displayed price
3,AM,77985.53,4x,KODEX KOSDAQ150,643,43,04:17,14.01,22263,311935.0,233949.47,731,131,02:49,16.24,15.9187,25.0006,49655.87,127641.41,12.7641,Sell no later than Phase Second 299 (timer 00:01),Sale proceeds available next half-session,Unlimited at displayed price
3,PM,127641.41,4x,HD Hyundai Heavy Industries,751,151,02:29,384.58,1327,510335.65,382694.24,808,208,01:32,445.97,15.9639,25.0113,81469.69,209111.09,20.9111,Sell no later than Phase Second 299 (timer 00:01),Sale proceeds available next half-session,Unlimited at displayed price
4,AM,209111.09,4x,LG Chem,992,92,03:28,250.56,3338,836374.07,627262.98,1049,149,02:31,300.88,20.083,25.0021,167968.78,377079.87,37.708,Sell no later than Phase Second 299 (timer 00:01),Sale proceeds available next half-session,Unlimited at displayed price
4,PM,377079.87,4x,NAVER,1051,151,02:29,118.62,12715,1508316.15,1131236.28,1098,198,01:42,140.48,18.425,25.0001,277906.76,654986.63,65.4987,Sell no later than Phase Second 299 (timer 00:01),Sale proceeds available next half-session,Unlimited at displayed price
5,AM,654986.63,4x,KODEX 200 Futures Inverse 2X,1245,45,04:15,0.09,28247401,2619946.44,1964959.81,1291,91,03:29,0.11,13.9931,25.0,366610.91,1021597.54,102.1598,Sell no later than Phase Second 299 (timer 00:01),Sale proceeds available next half-session,Unlimited at displayed price
5,PM,1021597.54,4x,Samsung Electronics,1374,174,02:06,266.63,15326,4086366.89,3064769.35,1499,299,00:01,337.59,26.6136,25.0001,1087527.49,2109125.03,210.9125,Sell no later than Phase Second 299 (timer 00:01),Sale proceeds available next half-session,Unlimited at displayed price
6,AM,2109125.03,4x,KODEX Leverage,1535,35,04:25,159.83,52783,8436407.18,6327282.15,1555,55,04:05,169.39,5.981,25.0003,504582.86,2613707.89,261.3708,Sell no later than Phase Second 299 (timer 00:01),Sale proceeds available next half-session,Unlimited at displayed price
6,PM,2613707.89,4x,Wonik IPS,1651,151,02:29,64.54,161990,10454784.85,7841076.96,1710,210,01:30,74.98,16.1836,25.0001,1691957.78,4305665.67,430.5666,Sell no later than Phase Second 299 (timer 00:01),Sale proceeds available next half-session,Unlimited at displayed price
