Scenario,Global_Second,Phase,Phase_Name,Phase_Second,Market_State,Kia,Vintrumite,DB HiTek,POSCO Future M,Hyundai Motor,POSCO Holdings,Samsung Electronics,LS,Samsung SDI,Samsung Electro-Mechanics,HD Korea Shipbuilding,LS ELECTRIC,Korea Zinc,HMM,Hyundai Mobis,Korea Electric Power,Samsung C&T,SK Inc.,NAVER,Kakao,JUSUNG Engineering,EO Technics,Hanmi Semiconductor,LG Chem,Shinhan Financial,LEENO Industrial,LG Electronics,Celltrion,KODEX 200,EcoPro,Hana Financial,KODEX Semiconductor,SK Innovation,TIGER 200,KB Financial,KODEX Leverage,Meritz Financial,Samsung Biologics,KODEX KOSDAQ150,KODEX KOSDAQ150 Leverage,Wonik IPS,EcoPro BM,KODEX 200 Futures Inverse 2X,HD Hyundai Electric,Hyosung Heavy Industries,Woori Financial,HD Hyundai Heavy Industries,LG Energy Solution,TIGER Semiconductor TOP10,HPSP
Scenario 2,1,1,Fake Positive News,1,TRADING,153993.8,209016.54,161713.93,267009.49,539016.32,501961.61,232500.0,509042.52,705058.93,918054.7,469466.72,294029.69,1628996.45,21147.56,436706.93,44495.51,319975.92,475467.59,1447000.0,47103.44,126587.7,475017.66,377999.6,428972.6,98006.44,120788.55,143273.16,188381.34,105293.63,155792.78,126607.42,130460.0,145712.78,105769.86,157787.81,127790.0,113754.64,1484828.75,20175.32,17085.03,122501.7,215536.61,151.98,1298914.8,4227657.35,33583.59,680032.46,471950.7,42175.0,54400.9
Scenario 2,2,1,Fake Positive News,2,TRADING,154126.44,208581.92,161772.84,267292.91,538049.88,501379.4,232306.42,507712.92,704847.38,920129.74,468291.43,293686.41,1626006.69,21097.95,437003.19,44495.7,320368.67,475586.54,1445214.12,47060.51,126594.97,474910.95,377966.2,428848.36,98160.24,120795.34,143624.55,188689.8,105338.15,155955.16,126505.96,130439.97,145395.65,105873.33,157792.02,127823.22,113675.62,1483263.74,20188.89,17075.25,122372.4,215000.03,151.79,1299074.84,4222726.68,33643.85,679331.8,471011.71,42187.25,54471.93
Scenario 2,3,1,Fake Positive News,3,TRADING,154590.68,208027.62,161748.23,267506.17,536731.77,500951.48,232198.2,506562.67,704842.41,921745.84,467104.21,293273.15,1623047.12,21042.83,437403.9,44495.65,320692.96,475831.78,1442572.55,47061.94,126835.53,475294.17,377873.0,428780.72,98474.0,120780.75,143866.68,189008.31,105273.23,156091.67,126571.13,130458.09,145046.87,106020.05,157691.58,127843.39,113715.02,1481903.09,20195.79,17077.34,122304.1,214646.87,151.87,1298333.58,4219439.55,33733.43,679656.27,469769.59,42199.3,54533.93
Scenario 2,4,1,Fake Positive News,4,TRADING,154987.47,207652.46,161786.11,267624.29,535929.53,499675.27,232054.37,505229.18,704816.12,923530.14,465933.15,293235.9,1621320.26,21000.12,437853.41,44433.93,320908.47,475912.93,1439708.67,47057.43,126757.8,475190.6,377866.5,428758.65,98720.37,120812.57,144138.03,189280.01,105337.6,156325.87,126479.61,130466.83,144747.94,106051.91,157651.99,127833.51,113744.37,1479953.71,20211.21,17053.83,122293.38,214320.25,151.94,1297101.91,4213605.77,33803.91,679177.87,468852.23,42209.99,54564.59
Scenario 2,5,1,Fake Positive News,5,TRADING,155043.93,207299.02,161843.44,267527.68,534831.53,498657.88,231711.47,503825.79,704721.2,926458.53,464583.98,292865.81,1618992.08,20942.91,438436.7,44391.57,321350.56,475844.25,1436937.81,47056.68,126847.72,474843.61,377951.63,428496.52,98831.17,120824.8,144498.65,189484.4,105333.13,156519.71,126279.63,130472.29,144465.64,105946.82,157621.32,127828.44,113724.65,1479084.3,20206.76,17039.37,122146.51,213811.43,152.13,1293457.73,4211794.96,33871.96,678866.61,468316.81,42209.47,54616.51
Scenario 2,6,1,Fake Positive News,6,TRADING,155419.62,206847.22,161858.18,267724.48,533669.41,497906.08,231474.58,502275.77,705022.6,929435.02,463316.31,292825.54,1614799.24,20894.15,439060.99,44394.39,321909.21,475992.27,1434923.54,47045.98,126870.85,474551.82,377881.22,428240.57,99015.68,120803.21,144825.75,189960.9,105345.47,156740.13,126246.14,130489.95,144205.68,106127.91,157685.83,127814.61,113679.77,1479226.77,20198.38,17014.47,122115.84,213349.74,152.33,1291950.13,4206535.97,33948.4,678640.53,467508.89,42204.72,54630.25
Scenario 2,7,1,Fake Positive News,7,TRADING,155753.01,206385.07,161879.76,267966.77,532377.68,497054.43,231145.21,500742.5,705080.69,932335.39,462079.46,292717.01,1612450.85,20845.85,439682.57,44361.89,322313.14,476260.33,1433235.98,47047.67,126800.91,474461.83,377949.09,428184.76,99336.81,120778.79,145202.5,190116.08,105344.72,157011.67,126078.27,130477.77,143982.19,106220.49,157614.45,127786.47,113694.77,1478673.17,20188.06,16997.95,122059.18,212823.63,152.43,1291310.46,4204624.86,34025.81,678880.42,466533.49,42202.33,54735.29
Scenario 2,8,1,Fake Positive News,8,TRADING,155973.81,205966.64,161866.71,268446.24,530870.58,496132.65,230946.47,499513.29,705077.75,935333.48,460350.72,292066.85,1609256.83,20796.36,440267.65,44329.66,322775.79,476714.35,1432722.01,47054.67,126993.55,474479.05,378019.82,428358.03,99331.23,120754.06,145534.01,190211.69,105323.37,157264.41,126088.45,130464.32,143741.29,106227.68,157638.66,127777.31,113704.95,1477030.56,20185.55,16978.82,122083.54,212369.82,152.31,1291761.97,4199522.58,34109.19,679479.7,465548.16,42207.89,54775.96
Scenario 2,9,1,Fake Positive News,9,TRADING,156214.32,205448.38,161969.99,268740.22,529315.89,495388.29,230735.2,498121.64,705297.69,937582.3,459249.42,291838.22,1605749.77,20740.96,440968.99,44314.2,323031.35,477534.7,1430229.46,47046.33,127166.64,474397.7,377936.75,428454.47,99432.6,120742.73,145854.82,190274.97,105345.62,157496.79,126109.31,130457.89,143438.64,106337.58,157563.33,127790.57,113699.01,1473123.91,20179.73,16961.76,122067.61,211621.57,152.31,1292228.8,4194095.12,34201.89,679646.14,464604.24,42202.24,54803.87
Scenario 2,10,1,Fake Positive News,10,TRADING,156557.45,204851.45,162058.43,268692.17,528122.28,494509.84,230418.18,496384.01,705234.71,938986.28,457933.32,291617.46,1602239.53,20691.8,441451.56,44289.63,323511.76,477825.73,1428323.72,47098.82,127281.39,474486.89,377978.44,428592.4,99587.64,120713.19,146235.9,190517.68,105268.39,157691.14,125884.5,130447.52,143171.96,106481.31,157512.9,127800.2,113717.4,1472792.6,20191.5,16932.6,122052.79,211161.42,152.57,1289571.51,4194194.14,34277.26,679657.21,463580.74,42199.93,54820.06
